SH3D21	SH3D21
EVA1B	EVA1B
STK40	STK40
LSM10	LSM10
OSCP1	OSCP1
MRPS15	MRPS15
CSF3R	CSF3R
LINC01137	LINC01137
ZC3H12A	ZC3H12A
MEAF6	MEAF6
SNIP1	SNIP1
GNL2	GNL2
C1orf109	C1orf109
CDCA8	CDCA8
YRDC	YRDC
C1orf122	C1orf122
MTF1	MTF1
INPP5B	INPP5B
SF3A3	SF3A3
FHL3	FHL3
UTP11L	UTP11L
RRAGC	RRAGC
RP5-864K19.4	RP5-864K19.4
MYCBP	MYCBP
AKIRIN1	AKIRIN1
NDUFS5	NDUFS5
MACF1	MACF1
KIAA0754	KIAA0754
RP11-69E11.4	RP11-69E11.4
PABPC4	PABPC4
HPCAL4	HPCAL4
PPIE	PPIE
TRIT1	TRIT1
MYCL	MYCL
MFSD2A	MFSD2A
CAP1	CAP1
PPT1	PPT1
RLF	RLF
RP1-39G22.7	RP1-39G22.7
ZMPSTE24	ZMPSTE24
COL9A2	COL9A2
SMAP2	SMAP2
ZFP69B	ZFP69B
ZFP69	ZFP69
RP11-656D10.3	RP11-656D10.3
EXO5	EXO5
ZNF684	ZNF684
RIMS3	RIMS3
NFYC-AS1	NFYC-AS1
NFYC	NFYC
CITED4	CITED4
CTPS1	CTPS1
SLFNL1	SLFNL1
SCMH1	SCMH1
HIVEP3	HIVEP3
FOXJ3	FOXJ3
PPCS	PPCS
CCDC30	CCDC30
PPIH	PPIH
YBX1	YBX1
LEPRE1	LEPRE1
C1orf50	C1orf50
CCDC23	CCDC23
ERMAP	ERMAP
RP11-342M1.3	RP11-342M1.3
ZNF691	ZNF691
SLC2A1	SLC2A1
SLC2A1-AS1	SLC2A1-AS1
EBNA1BP2	EBNA1BP2
WDR65	WDR65
RP1-92O14.3	RP1-92O14.3
CDC20	CDC20
ELOVL1	ELOVL1
MED8	MED8
SZT2	SZT2
HYI	HYI
KDM4A	KDM4A
KDM4A-AS1	KDM4A-AS1
ST3GAL3	ST3GAL3
IPO13	IPO13
DPH2	DPH2
ATP6V0B	ATP6V0B
CCDC24	CCDC24
DMAP1	DMAP1
ERI3	ERI3
RNF220	RNF220
TMEM53	TMEM53
C1orf228	C1orf228
KIF2C	KIF2C
RPS8	RPS8
BEST4	BEST4
PLK3	PLK3
BTBD19	BTBD19
PTCH2	PTCH2
EIF2B3	EIF2B3
HECTD3	HECTD3
UROD	UROD
HPDL	HPDL
MUTYH	MUTYH
TOE1	TOE1
TESK2	TESK2
CCDC163P	CCDC163P
PRDX1	PRDX1
AKR1A1	AKR1A1
NASP	NASP
GPBP1L1	GPBP1L1
TMEM69	TMEM69
IPP	IPP
MAST2	MAST2
PIK3R3	PIK3R3
POMGNT1	POMGNT1
LRRC41	LRRC41
UQCRH	UQCRH
NSUN4	NSUN4
FAAH	FAAH
MKNK1	MKNK1
MOB3C	MOB3C
ATPAF1	ATPAF1
EFCAB14	EFCAB14
PDZK1IP1	PDZK1IP1
TAL1	TAL1
CMPK1	CMPK1
RP11-511I2.2	RP11-511I2.2
FOXD2-AS1	FOXD2-AS1
FOXD2	FOXD2
SPATA6	SPATA6
BEND5	BEND5
FAF1	FAF1
CDKN2C	CDKN2C
RNF11	RNF11
EPS15	EPS15
OSBPL9	OSBPL9
NRD1	NRD1
TXNDC12	TXNDC12
KTI12	KTI12
BTF3L4	BTF3L4
ZFYVE9	ZFYVE9
CC2D1B	CC2D1B
ORC1	ORC1
PRPF38A	PRPF38A
ZCCHC11	ZCCHC11
GPX7	GPX7
FAM159A	FAM159A
COA7	COA7
ZYG11B	ZYG11B
ECHDC2	ECHDC2
SCP2	SCP2
PODN	PODN
SLC1A7	SLC1A7
CPT2	CPT2
C1orf123	C1orf123
RP5-1024G6.7	RP5-1024G6.7
MAGOH	MAGOH
RP4-784A16.5	RP4-784A16.5
RP11-117D22.2	RP11-117D22.2
NDC1	NDC1
YIPF1	YIPF1
HSPB11	HSPB11
LRRC42	LRRC42
TMEM59	TMEM59
TCEANC2	TCEANC2
